Region,Index Crime,Population,Rate per 100K
NCR,7273,12859211,56.55868
REGION I,1089,5021171,21.68816796
REGION II,1092,3447468,31.67542092
REGION III,2563,11199069,22.88583096
REGION IV-A,5046,14387196,35.07285228
REGION IV-B,560,2959491,18.92217277
REGION V,1801,5790307,31.10370486
REGION VI,3434,7528646,45.61245143
REGION VII,3524,7386344,47.7096653
REGION VIII,948,4434152,21.37951067
REGION IX,2317,3625830,63.90260989
REGION X,1330,4682374,28.40439486
REGION XI,2361,4885808,48.32363449
REGION XII,1688,4046956,41.71036206
ARMM,179,4265476,4.196483581
CAR,464,1720134,26.97464267
CARAGA,776,2593738,29.91821071
